"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label"
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-64","2022",76.659,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 15-24","2022",54.332,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Youth, adults): 25+","2022",87.234,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15+","2022",64.111,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-64","2022",65.607,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 15-24","2022",48.339,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Youth, adults): 25+","2022",72.032,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15+","2022",69.88,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 15-24","2022",51.356,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 25-54","2022",83.197,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 55-64","2022",74.667,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Total","Age (Aggregate bands): 65+","2022",48.239,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15+","2022",75.797,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 15-24","2022",54.332,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 25-54","2022",90.275,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 55-64","2022",83.147,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Male","Age (Aggregate bands): 65+","2022",58.404,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15+","2022",64.111,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 15-24","2022",48.339,
"Sub-Saharan Africa","ILO - Modelled Estimates","Labour force participation rate by sex and age -- ILO modelled estimates, Nov. 2025 (%)","Female","Age (Aggregate bands): 25-54","2022",76.231,
